,MCVA,MCVA_x,MCVA_y,GC,GC_x,GC_y,TS,x,y,LE,max_depth,learning_rate,n_estimators,min_child_weight,subsample,colsample_bytree,reg_lambda,gamma
0,0.8992,0.9029,0.8956,0.0119,0.0117,0.0124,0.9504,4570.097,7628.886,9.3901,3,0.15941262935409753,262,7.0,0.6248437316928392,0.5801357948962123,1.54503365894996,0.3287641120741068
1,0.8979,0.9008,0.895,0.0127,0.0126,0.0131,0.951,4568.493,7627.3057,7.2086,4,0.17573347637527512,148,6.0,0.6181272508171759,0.9915351963304223,2.6923759968079555,0.08378197831204913
2,0.8991,0.9035,0.8946,0.0118,0.0111,0.0129,0.9466,4568.484,7626.6455,6.6339,5,0.1732052529342764,173,10.0,0.7602823820513378,0.7221532963838011,3.2471650288945413,0.9822971435316534
3,0.8995,0.9053,0.8938,0.0116,0.0109,0.0127,0.9442,4569.9043,7626.7134,7.5296,3,0.15565895541207148,297,10.0,0.5576332591879823,0.8943982832675648,1.0952174659946947,0.0144981897633975
4,0.9038,0.9071,0.9005,0.0104,0.0106,0.0107,0.9481,4568.328,7626.1094,6.0977,3,0.18719073952554066,240,9.0,0.5845810563160029,0.8474016219165291,3.9832707647533216,0.3085945222361671
5,0.9045,0.9055,0.9036,0.0108,0.0113,0.0106,0.9436,4568.291,7625.9194,5.9188,8,0.18363528296076598,220,9.0,0.6617812519001949,0.990243507879592,4.306256637148874,0.672530825262196
6,0.901,0.9065,0.8955,0.0117,0.0119,0.0125,0.9526,4570.239,7626.0137,7.2513,7,0.12185012247742334,256,9.0,0.508629949736316,0.7423245526710668,4.474810066515965,0.46771870050503517
7,0.901,0.9055,0.8965,0.0113,0.0115,0.0121,0.9473,4568.526,7625.6626,5.8457,6,0.1370483951202327,265,9.0,0.6056458366349161,0.8974456397151881,2.2766011863978397,0.40800072131316684
8,0.8995,0.9006,0.8983,0.0122,0.0128,0.0122,0.9415,4568.164,7625.4326,5.446,4,0.26704848922184654,267,7.0,0.7006067040598505,0.979673391414192,2.9600504342936795,0.8997613820838025
9,0.9054,0.903,0.9079,0.011,0.0128,0.0097,0.9538,4569.204,7625.154,5.91,4,0.13438757191955092,220,5.0,0.560893229044642,0.6141960385478342,3.892784264276694,0.38760866424555096
10,0.8991,0.8998,0.8985,0.0124,0.0134,0.012,0.9521,4569.4873,7626.167,6.8435,8,0.1840549920337001,199,9.0,0.7491788780684714,0.5859203379078414,4.720238250469903,0.3958998677270008
11,0.9028,0.9022,0.9034,0.0114,0.0131,0.0105,0.9496,4568.852,7626.8423,6.9979,4,0.17179568795525824,280,10.0,0.7450625798119959,0.9002700029080712,3.0141738871069284,0.1651965731698659
12,0.9055,0.9091,0.9019,0.0107,0.0105,0.0117,0.9512,4568.633,7625.66,5.9088,5,0.12915881994497933,217,8.0,0.5657935896913865,0.8832412549012834,3.6506062890106867,0.7987913882651537
13,0.9011,0.8994,0.9028,0.0122,0.0131,0.0116,0.9454,4568.862,7627.263,7.3581,4,0.1829019143721666,241,6.0,0.5981613782430123,0.7368507735354766,1.2001007022642183,0.6122196115025051
14,0.9041,0.9054,0.9027,0.0114,0.0123,0.0112,0.9551,4569.642,7624.802,6.0002,6,0.069355097868991,280,7.0,0.553243424433575,0.8010511091480236,3.3346213518983503,0.17718058934882613
