,MCVA,MCVA_x,MCVA_y,GC,GC_x,GC_y,TS,x,y,LE,max_depth,learning_rate,n_estimators,min_child_weight,subsample,colsample_bytree,reg_lambda,gamma
0,0.8656,0.8684,0.8628,0.0213,0.0223,0.0225,0.9383,4566.8335,7625.6006,4.9525,7,0.1164470312087606,250,8.0,0.8171920319518969,0.8910393415230567,2.8909349675029343,0.4175187242428116
1,0.8636,0.8715,0.8557,0.021,0.0198,0.0234,0.938,4567.7524,7626.348,6.0149,5,0.11847068365539393,289,9.0,0.6834074293926635,0.9449648577090339,2.2199835207477645,0.3635752614714305
2,0.8686,0.8661,0.8711,0.0203,0.0214,0.0197,0.9395,4566.9946,7625.6626,5.0713,7,0.0651351838337316,191,3.0,0.8399839002986538,0.7185156386787982,2.160631318137801,0.686334852189249
3,0.8724,0.8695,0.8754,0.0202,0.022,0.0188,0.9329,4567.0933,7624.837,4.3708,3,0.11511066992485315,296,2.0,0.8104548019143469,0.929686102097383,2.9146730528814464,0.6468004866496851
4,0.8678,0.8634,0.8722,0.0215,0.0248,0.0191,0.9413,4568.036,7626.025,5.8709,5,0.1564917777514917,128,5.0,0.8147211460453593,0.7223379280781983,2.8766596556079156,0.6945436008399761
5,0.8654,0.8722,0.8586,0.0212,0.0188,0.0249,0.9352,4568.013,7626.8745,6.6022,8,0.09641239108520927,235,9.0,0.78362831252211,0.8498147592780528,2.289237170295096,0.7727149528113936
6,0.8661,0.8687,0.8636,0.0204,0.0204,0.0214,0.9353,4566.4297,7624.959,4.2092,4,0.15838712585837986,183,5.0,0.7962595798938195,0.9983589390854859,3.7848303676916606,0.5473854040797204
7,0.8683,0.8708,0.8658,0.0202,0.0202,0.0212,0.9331,4567.925,7625.3066,5.2059,4,0.07628617525531432,241,5.0,0.6164282525192255,0.9585355494079388,4.066455069044339,0.7696382705877604
8,0.8724,0.8626,0.8822,0.0194,0.0235,0.0161,0.9357,4567.7896,7625.269,5.0996,6,0.0752409318801209,285,2.0,0.6005635368325143,0.7380426605788917,0.34683796234820985,0.6394702601492452
9,0.8637,0.8655,0.8618,0.0217,0.0223,0.022,0.9434,4567.58,7625.8926,5.5312,6,0.0712296846668294,242,7.0,0.7907529846205629,0.8662342686506201,4.783047808104286,0.6717654551449841
10,0.8682,0.8696,0.8667,0.0198,0.0204,0.0202,0.9382,4567.261,7626.3145,5.7755,6,0.08752558526493708,159,5.0,0.6419598639683773,0.7776120837796038,1.6728780902409772,0.05658446097749134
11,0.869,0.8717,0.8663,0.0205,0.0205,0.0209,0.9341,4567.6597,7626.532,6.1384,7,0.09638732153941969,113,3.0,0.7201773597599912,0.6894419068915831,1.4861378387308766,0.9844129587778248
12,0.8672,0.8611,0.8733,0.0205,0.0233,0.0187,0.9258,4568.96,7625.061,5.6722,4,0.16457191927110448,96,4.0,0.7503855022464373,0.7421428145313115,2.9280595754106664,0.47245803888002685
13,0.8663,0.8638,0.8689,0.0205,0.0235,0.0197,0.9278,4568.3726,7624.78,5.0657,5,0.12982019685224788,168,8.0,0.6640501320022638,0.7858470445987198,1.205567359589736,0.1841391898180459
14,0.8681,0.8738,0.8624,0.0209,0.0188,0.0237,0.9426,4567.067,7624.8105,4.335,7,0.07507477903513102,234,4.0,0.8240174263184721,0.7931921961321778,1.9342117961921281,0.07632607594654617
15,0.8712,0.8717,0.8707,0.0196,0.0212,0.0196,0.9365,4568.306,7626.842,6.7125,7,0.12439894047438482,218,8.0,0.6558169847173378,0.6846681761234309,4.99644573957625,0.48391371373853387
16,0.8667,0.8696,0.8638,0.0203,0.0209,0.0218,0.9258,4568.4717,7625.5234,5.7021,4,0.13230814519621772,151,7.0,0.6585802690136713,0.8714601214911261,1.9227461320116521,0.5713489199743454
17,0.8653,0.8582,0.8724,0.0208,0.0248,0.019,0.9347,4567.3716,7626.095,5.6201,4,0.08427945386856665,183,8.0,0.587974043630114,0.9272681408233676,1.981150239109468,0.09145967380182714
18,0.8659,0.8738,0.8579,0.0212,0.0193,0.024,0.9353,4566.422,7626.0625,5.2584,4,0.11721293679564045,220,3.0,0.8501345357669388,0.7465231098104099,4.167763858224875,0.39777833164677484
19,0.8626,0.865,0.8602,0.0211,0.0223,0.0217,0.928,4569.109,7626.704,7.0299,4,0.17553057066345604,142,8.0,0.8365273484770879,0.9532609858601871,4.9396129236412465,0.9975205557292077
20,0.8661,0.8699,0.8623,0.0202,0.0194,0.022,0.9331,4568.91,7626.395,6.663,5,0.05017949733376216,294,10.0,0.6262267296574705,0.8132036877324643,4.968237484940302,0.8163995658547966
21,0.8658,0.8788,0.8528,0.0212,0.0174,0.0271,0.9344,4568.091,7627.311,7.0273,6,0.12603425509866295,153,7.0,0.6864582544526132,0.6875643826541071,3.0184261882814774,0.04193534044139269
22,0.8687,0.8648,0.8727,0.0193,0.021,0.0183,0.9314,4566.15,7625.76,4.8967,7,0.08951942881303104,265,3.0,0.5178021778940961,0.7714796157672095,2.3829027813360346,0.7915082328045151
23,0.864,0.8567,0.8713,0.0212,0.0231,0.0197,0.9233,4565.364,7625.014,4.0306,7,0.2042625499361451,125,2.0,0.8582565247981817,0.7460912084468078,0.4991524915574517,0.1544574450014097
24,0.869,0.8711,0.8668,0.0204,0.0201,0.0217,0.9354,4567.2046,7624.9033,4.4829,4,0.06826907708905294,240,6.0,0.650477009315575,0.9958601004078302,2.2258690363305256,0.8519368257778447
